konsiltan	k-on-s-i-l-t-an
tinè	t-i-n-è
lisidite	l-i-s-i-d-i-t-e
fòmasyon	f-ò-m-a-s-y-on
landjèz	l-an-d-j-è-z
rekite	r-e-k-i-t-e
transfizyon	t-r-an-s-f-i-z-y-on
zenofobi	z-e-n-o-f-o-b-i
angle	an-g-l-e
pèzib	p-è-z-i-b
badjo	b-a-d-j-o
Magda	M-a-g-d-a
chat	ch-a-t
dekòde	d-e-k-ò-d-e
pinisyon	p-i-n-i-s-y-on
rezidi	r-e-z-i-d-i
ben	b-en
kanni	k-an-n-i
djòl	d-j-ò-l
katòzyèm	k-a-t-ò-z-y-è-m
gen	g-en
pwobasyon	p-w-o-b-a-s-y-on
imilite	i-m-i-l-i-t-e
bawo	b-a-w-o
Chandmas	Ch-an-d-m-a-s
tèti	t-è-t-i
moumou	m-ou-m-ou
avangad	a-v-an-g-a-d
toupi	t-ou-p-i
Lano	L-a-n-o
kontra	k-on-t-r-a
anflame	an-f-l-a-m-e
dezyèmman	d-e-z-y-è-m-m-an
done	d-o-n-e
tèz	t-è-z
Delma	D-e-l-m-a
fòtifyan	f-ò-t-i-f-y-an
lavant	l-a-v-an-t
pòtigè	p-ò-t-i-g-è
bandisyon	b-an-d-i-s-y-on
amourèz	a-m-ou-r-è-z
adorableman	a-d-o-r-a-b-l-e-m-an
kochon	k-o-ch-on
volontye	v-o-l-on-t-y-e
rèv	r-è-v
daki	d-a-k-i
dènyèman	d-è-n-y-è-m-an
konpanyi	k-on-p-a-n-y-i
entèmedyè	en-t-è-m-e-d-y-è
chifonnen	ch-i-f-on-n-en
denkou	d-en-k-ou
eksprè	e-k-s-p-r-è
Wolenbe	W-o-l-en-b-e
Achab	A-ch-a-b
Bomon	B-o-m-on
islamik	i-s-l-a-m-i-k
afrikèn	a-f-r-i-k-è-n
rido	r-i-d-o
selibatè	s-e-l-i-b-a-t-è
finès	f-i-n-è-s
benzèn	b-en-z-è-n
malapri	m-a-l-a-p-r-i
longan	l-on-g-an
aloufa	a-l-ou-f-a
Chelemya	Ch-e-l-e-m-y-a
repi	r-e-p-i
Wali	W-a-l-i
mal	m-a-l
zong	z-o-ng
ma	m-a
rekòmandasyon	r-e-k-ò-m-an-d-a-s-y-on
degaje	d-e-g-a-j-e
papiyon	p-a-p-i-y-on
goyin	g-o-y-i-n
transkriptè	t-r-an-s-k-r-i-p-t-è
Izmeri	I-z-m-e-r-i
emwod	e-m-w-o-d
rezen	r-e-z-en
lawouze	l-a-w-ou-z-e
lwe	l-w-e
pratike	p-r-a-t-i-k-e
Majori	M-a-j-o-r-i
kalewès	k-a-l-e-w-è-s
bizon	b-i-z-on
vokasyonèl	v-o-k-a-s-y-o-n-è-l
koutbaton	k-ou-t-b-a-t-on
jennen	j-en-n-en
gaspiyaj	g-a-s-p-i-y-a-j
Meksik	M-e-k-s-i-k
Jilyèt	J-i-l-y-è-t
gam	g-a-m
mene	m-e-n-e
entegralite	en-t-e-g-r-a-l-i-t-e
sesesyon	s-e-s-e-s-y-on
Salvadò	S-a-l-v-a-d-ò
penich	p-e-n-i-ch
depatcha	d-e-p-a-t-ch-a
dekiprevyen	d-e-k-i-p-r-e-v-y-en
zigzani	z-i-g-z-a-n-i
jwa	j-w-a
kouray	k-ou-r-a-y
akwochay	a-k-w-o-ch-a-y
kolabore	k-o-l-a-b-o-r-e
nap	n-a-p
lantouray	l-an-t-ou-r-a-y
reyanbochaj	r-e-y-an-b-o-ch-a-j
konsiltasyon	k-on-s-i-l-t-a-s-y-on
adjwen	a-d-j-w-en
dekouvèt	d-e-k-ou-v-è-t
pèmeyab	p-è-m-e-y-a-b
antèman	an-t-è-m-an
egzibe	e-g-z-i-b-e
fòse	f-ò-s-e
priyorize	p-r-i-y-o-r-i-z-e
marye	m-a-r-y-e
renovasyon	r-e-n-o-v-a-s-y-on
sifizans	s-i-f-i-z-an-s
Dèpèch	D-è-p-è-ch
destine	d-e-s-t-i-n-e
souvètman	s-ou-v-è-t-m-an
ekimenik	e-k-i-m-e-n-i-k
demanjezon	d-e-m-an-j-e-z-on
kopi	k-o-p-i
tyelele	t-y-e-l-e-l-e
vokabilè	v-o-k-a-b-i-l-è
Malik	M-a-l-i-k
gaj	g-a-j
eskèlèt	e-s-k-è-l-è-t
ostralyen	o-s-t-r-a-l-y-en
grafonyen	g-r-a-f-on-y-en
inidimansyonèl	i-n-i-d-i-m-an-s-y-o-n-è-l
pwosperite	p-w-o-s-p-e-r-i-t-e
dizaynè	d-i-z-a-y-n-è
koridò	k-o-r-i-d-ò
rilaks	r-i-l-a-k-s
polyomyelit	p-o-l-y-o-m-y-e-l-i-t
Prisil	P-r-i-s-i-l
santinèl	s-an-t-i-n-è-l
malalèz	m-a-l-a-l-è-z
bristòl	b-r-i-s-t-ò-l
ekla	e-k-l-a
eskriten	e-s-k-r-i-t-en
masakre	m-a-s-a-k-r-e
arivan	a-r-i-v-an
debonde	d-e-b-on-d-e
dokimantasyon	d-o-k-i-m-an-t-a-s-y-on
anfèmen	an-f-è-m-en
Mazda	M-a-z-d-a
arete	a-r-e-t-e
chòvsouri	ch-ò-v-s-ou-r-i
Lyoto	L-y-o-t-o
retrete	r-e-t-r-e-t-e
imajinè	i-m-a-j-i-n-è
Irigwey	I-r-i-g-w-e-y
administratris	a-d-m-i-n-i-s-t-r-a-t-r-i-s
volontèman	v-o-l-on-t-è-m-an
kijan	k-i-j-an
atansion	a-t-an-s-i-on
tanporè	t-an-p-o-r-è
ipoglisemi	i-p-o-g-l-i-s-e-m-i
enpresyon	en-p-r-e-s-y-on
prèt	p-r-è-t
Jantil	J-an-t-i-l
karibeyen	k-a-r-i-b-e-y-en
enpilsif	en-p-i-l-s-i-f
maketing	m-a-k-e-t-i-ng
pwoteje	p-w-o-t-e-j-e
Kiskeya	K-i-s-k-e-y-a
karavèl	k-a-r-a-v-è-l
anvigè	an-v-i-g-è
eskiv	e-s-k-i-v
yerachi	y-e-r-a-ch-i
pasifik	p-a-s-i-f-i-k
wete	w-e-t-e
Ladesalinyèn	L-a-d-e-s-a-l-i-n-y-è-n
jeretyen	j-e-r-e-t-y-en
potorik	p-o-t-o-r-i-k
lakilti	l-a-k-i-l-t-i
medizan	m-e-d-i-z-an
powèm	p-o-w-è-m
mèt	m-è-t
Amon	A-m-on
vle	v-l-e
Pèch	P-è-ch
bougonnen	b-ou-g-on-n-en
tole	t-o-l-e
kracha	k-r-a-ch-a
chekye	ch-e-k-y-e
ekzekite	e-k-z-e-k-i-t-e
inyon	i-n-y-on
lajman	l-a-j-m-an
kwout	k-w-ou-t
Koto	K-o-t-o
jonas	j-o-n-a-s
enventè	en-v-en-t-è
konpanyon	k-on-p-a-n-y-on
destriksyon	d-e-s-t-r-i-k-s-y-on
take	t-a-k-e
franj	f-r-an-j
globalize	g-l-o-b-a-l-i-z-e
difizyon	d-i-f-i-z-y-on
traka	t-r-a-k-a
dijans	d-i-j-an-s
touswit	t-ou-s-w-i-t
reklam	r-e-k-l-a-m
jakout	j-a-k-ou-t
Amnon	A-m-n-on
konsistan	k-on-s-i-s-t-an
reyalite	r-e-y-a-l-i-t-e
masonik	m-a-s-o-n-i-k
ponkò	p-on-k-ò
pwotid	p-w-o-t-i-d
Tiga	T-i-g-a
ebèje	e-b-è-j-e
ensidan	en-s-i-d-an
vantrikil	v-an-t-r-i-k-i-l
zèfè	z-è-f-è
kasayòl	k-a-s-a-y-ò-l
gouvènmantal	g-ou-v-è-n-m-an-t-a-l
admire	a-d-m-i-r-e
demini	d-e-m-i-n-i
delikatès	d-e-l-i-k-a-t-è-s
Soni	S-o-n-i
sèvyètdeben	s-è-v-y-è-t-d-e-b-en
Patmòs	P-a-t-m-ò-s
papye	p-a-p-y-e
tewoloji	t-e-w-o-l-o-j-i
kwonikè	k-w-o-n-i-k-è
apokalips	a-p-o-k-a-l-i-p-s
ant	an-t
tonèl	t-o-n-è-l
eskadwon	e-s-k-a-d-w-on
flègèdèk	f-l-è-g-è-d-è-k
veyikile	v-e-y-i-k-i-l-e
jistan	j-i-s-t-an
enben	en-b-en
espresyon	e-s-p-r-e-s-y-on
koche	k-o-ch-e
irinwa	i-r-i-n-w-a
difamasyon	d-i-f-a-m-a-s-y-on
dokazyon	d-o-k-a-z-y-on
eklèsi	e-k-l-è-s-i
Chansrèl	Ch-an-s-r-è-l
peplay	p-e-p-l-a-y
preferableman	p-r-e-f-e-r-a-b-l-e-m-an
afich	a-f-i-ch
astwonòt	a-s-t-w-o-n-ò-t
demen	d-e-m-en
Jeb	J-e-b
Nouvelis	N-ou-v-e-l-i-s
lamajorite	l-a-m-a-j-o-r-i-t-e
Peralt	P-e-r-a-l-t
ateri	a-t-e-r-i
mizopwen	m-i-z-o-p-w-en
retrè	r-e-t-r-è
koperatif	k-o-p-e-r-a-t-i-f
bononm	b-o-n-on-m
Bètleyèm	B-è-t-l-e-y-è-m
imid	i-m-i-d
bòne	b-ò-n-e
prete	p-r-e-t-e
betèl	b-e-t-è-l
dorijin	d-o-r-i-j-i-n
malfezan	m-a-l-f-e-z-an
Patchouko	P-a-t-ch-ou-k-o
owoskòp	o-w-o-s-k-ò-p
dezagreman	d-e-z-a-g-r-e-m-an
senbolis	s-en-b-o-l-i-s
pwatike	p-w-a-t-i-k-e
dizenn	d-i-z-en-n
Ayisen	A-y-i-s-en
tèmomèt	t-è-m-o-m-è-t
tanbourinè	t-an-b-ou-r-i-n-è
kadiovaskilè	k-a-d-i-o-v-a-s-k-i-l-è
rizib	r-i-z-i-b
sètmil	s-è-t-m-i-l
enfektye	en-f-e-k-t-y-e
dyòl	d-y-ò-l
konpwomèt	k-on-p-w-o-m-è-t
silab	s-i-l-a-b
konplemantarite	k-on-p-l-e-m-an-t-a-r-i-t-e
sè	s-è
kalson	k-a-l-s-on
prela	p-r-e-l-a
panpan	p-an-p-an
pens	p-en-s
patrimwàn	p-a-t-r-i-m-w-à-n
antinasyonal	an-t-i-n-a-s-y-o-n-a-l
klewonnen	k-l-e-w-on-n-en
noze	n-o-z-e
tifi	t-i-f-i
sèp	s-è-p
sousiyen	s-ou-s-i-y-en
sandriye	s-an-d-r-i-y-e
predi	p-r-e-d-i
onon	o-n-on
Senatis	S-e-n-a-t-i-s
asenal	a-s-e-n-a-l
choke	ch-o-k-e
matlo	m-a-t-l-o
foujè	f-ou-j-è
entwospektiv	en-t-w-o-s-p-e-k-t-i-v
relate	r-e-l-a-t-e
swen	s-w-en
konfiti	k-on-f-i-t-i
latitid	l-a-t-i-t-i-d
Loko	L-o-k-o
pwès	p-w-è-s
serye	s-e-r-y-e
bosi	b-o-s-i
konble	k-on-b-l-e
Bèlfontèn	B-è-l-f-on-t-è-n
pasaj	p-a-s-a-j
lennmi	l-en-n-m-i
konfyan	k-on-f-y-an
kiray	k-i-r-a-y
grafiti	g-r-a-f-i-t-i
krim	k-r-i-m
popyè	p-o-p-y-è
kòmisyonnè	k-ò-m-i-s-y-on-n-è
Meksiko	M-e-k-s-i-k-o
mesyedam	m-e-s-y-e-d-a-m
pawas	p-a-w-a-s
anviwònman	an-v-i-w-ò-n-m-an
anbisye	an-b-i-s-y-e
machòkèt	m-a-ch-ò-k-è-t
espyonnen	e-s-p-y-on-n-en
dakò	d-a-k-ò
konspire	k-on-s-p-i-r-e
dada	d-a-d-a
espas	e-s-p-a-s
arebò	a-r-e-b-ò
voyajè	v-o-y-a-j-è
bifèt	b-i-f-è-t
domino	d-o-m-i-n-o
koryolis	k-o-r-y-o-l-i-s
Jamèvi	J-a-m-è-v-i
kriminoloji	k-r-i-m-i-n-o-l-o-j-i
ankadreman	an-k-a-d-r-e-m-an
naje	n-a-j-e
fokalize	f-o-k-a-l-i-z-e
ekspirasyon	e-k-s-p-i-r-a-s-y-on
jiri	j-i-r-i
moman	m-o-m-an
oksidan	o-k-s-i-d-an
telefòn	t-e-l-e-f-ò-n
pijon	p-i-j-on
referandòm	r-e-f-e-r-an-d-ò-m
kameramann	k-a-m-e-r-a-m-an-n
sele	s-e-l-e
devègonde	d-e-v-è-g-on-d-e
Mezil	M-e-z-i-l
emplwaye	e-m-p-l-w-a-y-e
ekolojis	e-k-o-l-o-j-i-s
ranblè	r-an-b-l-è
sousad	s-ou-s-a-d
lanmèd	l-an-m-è-d
kalsyòm	k-a-l-s-y-ò-m
refouye	r-e-f-ou-y-e
chome	ch-o-m-e
gide	g-i-d-e
Jaklin	J-a-k-l-i-n
enpè	en-p-è
kontredi	k-on-t-r-e-d-i
entanperi	en-t-an-p-e-r-i
grese	g-r-e-s-e
siyati	s-i-y-a-t-i
sipèpozisyon	s-i-p-è-p-o-z-i-s-y-on
toufounen	t-ou-f-ou-n-en
vrèsanblab	v-r-è-s-an-b-l-a-b
rechofe	r-e-ch-o-f-e
penpenp	p-en-p-en-p
vennt	v-en-n-t
endikatif	en-d-i-k-a-t-i-f
entesten	en-t-e-s-t-en
sèten	s-è-t-en
kit	k-i-t
sibènetik	s-i-b-è-n-e-t-i-k
Ananyas	A-n-a-n-y-a-s
tris	t-r-i-s
Cherestal	Ch-e-r-e-s-t-a-l
eskouvyon	e-s-k-ou-v-y-on
kondisyonnèl	k-on-d-i-s-y-on-n-è-l
likid	l-i-k-i-d
potko	p-o-t-k-o
orib	o-r-i-b
Brinèl	B-r-i-n-è-l
glisad	g-l-i-s-a-d
sitwon	s-i-t-w-on
rakle	r-a-k-l-e
belijeran	b-e-l-i-j-e-r-an
sichik	s-i-ch-i-k
postaj	p-o-s-t-a-j
tanperati	t-an-p-e-r-a-t-i
endirèkteman	en-d-i-r-è-k-t-e-m-an
minis	m-i-n-i-s
monopòl	m-o-n-o-p-ò-l
kongregasyon	k-on-g-r-e-g-a-s-y-on
Monik	M-o-n-i-k
akablan	a-k-a-b-l-an
faktori	f-a-k-t-o-r-i
reminerasyon	r-e-m-i-n-e-r-a-s-y-on
sanktifikasyon	s-an-k-t-i-f-i-k-a-s-y-on
aparans	a-p-a-r-an-s
sipèvizè	s-i-p-è-v-i-z-è
Emira	E-m-i-r-a
entansite	en-t-an-s-i-t-e
espri	e-s-p-r-i
veridik	v-e-r-i-d-i-k
grenouy	g-r-e-n-ou-y
dekole	d-e-k-o-l-e
koulè	k-ou-l-è
akaryat	a-k-a-r-y-a-t
otantisite	o-t-an-t-i-s-i-t-e
penib	p-e-n-i-b
kesye	k-e-s-y-e
Rebeka	R-e-b-e-k-a
zepina	z-e-p-i-n-a
eksitan	e-k-s-i-t-an
sounwa	s-ou-n-w-a
kalkile	k-a-l-k-i-l-e
Simone	S-i-m-o-n-e
lamante	l-a-m-an-t-e
Menmfis	M-en-m-f-i-s
gadinaj	g-a-d-i-n-a-j
eksepsyon	e-k-s-e-p-s-y-on
selebrite	s-e-l-e-b-r-i-t-e
kòporasyon	k-ò-p-o-r-a-s-y-on
anpren	an-p-r-en
nòb	n-ò-b
fonoloji	f-o-n-o-l-o-j-i
dezòdone	d-e-z-ò-d-o-n-e
Efrat	E-f-r-a-t
levi	l-e-v-i
plispase	p-l-i-s-p-a-s-e
lonnvi	l-on-n-v-i
Zaragwa	Z-a-r-a-g-w-a
regrete	r-e-g-r-e-t-e
otokritik	o-t-o-k-r-i-t-i-k
sibitman	s-i-b-i-t-m-an
rebati	r-e-b-a-t-i
sonje	s-on-j-e
labondans	l-a-b-on-d-an-s
pretriz	p-r-e-t-r-i-z
epe	e-p-e
enstablite	en-s-t-a-b-l-i-t-e
Olann	O-l-an-n
gouvènen	g-ou-v-è-n-en
lagoni	l-a-g-o-n-i
negativ	n-e-g-a-t-i-v
prese	p-r-e-s-e
swasantèn	s-w-a-s-an-t-è-n
ansenye	an-s-e-n-y-e
reveyon	r-e-v-e-y-on
sizonnen	s-i-z-on-n-en
pasdlo	p-a-s-d-l-o
egzanp	e-g-z-an-p
blaze	b-l-a-z-e
depan	d-e-p-an
potanta	p-o-t-an-t-a
vale	v-a-l-e
aleje	a-l-e-j-e
magi	m-a-g-i
lodyans	l-o-d-y-an-s
tòdye	t-ò-d-y-e
Labadi	L-a-b-a-d-i
ekzeyat	e-k-z-e-y-a-t
enpwovize	en-p-w-o-v-i-z-e
maske	m-a-s-k-e
chemiz	ch-e-m-i-z
enkoni	en-k-o-n-i
Lali	L-a-l-i
Maksi	M-a-k-s-i
anpoul	an-p-ou-l
ble	b-l-e
ensttriksyon	en-s-t-t-r-i-k-s-y-on
rebite	r-e-b-i-t-e
radyo	r-a-d-y-o
apse	a-p-s-e
pwolongasyon	p-w-o-l-on-g-a-s-y-on
donmaj	d-on-m-a-j
matyè	m-a-t-y-è
lepèp	l-e-p-è-p
revandèz	r-e-v-an-d-è-z
mambo	m-a-m-b-o
ekstrèm	e-k-s-t-r-è-m
indistriyalize	i-n-d-i-s-t-r-i-y-a-l-i-z-e
gremèsi	g-r-e-m-è-s-i
orijinèl	o-r-i-j-i-n-è-l
kraponnen	k-r-a-p-on-n-en
myèt	m-y-è-t
kamewounè	k-a-m-e-w-ou-n-è
lakoup	l-a-k-ou-p
antatik	an-t-a-t-i-k
pèdri	p-è-d-r-i
asirans	a-s-i-r-an-s
mond	m-on-d
sikren	s-i-k-r-en
mawonnen	m-a-w-on-n-en
rasyal	r-a-s-y-a-l
devenn	d-e-v-en-n
playoud	p-l-a-y-ou-d
senp	s-en-p
vestimantè	v-e-s-t-i-m-an-t-è
merès	m-e-r-è-s
degradasyon	d-e-g-r-a-d-a-s-y-on
vèbalman	v-è-b-a-l-m-an
labank	l-a-b-an-k
lwayal	l-w-a-y-a-l
imatrikilasyon	i-m-a-t-r-i-k-i-l-a-s-y-on
lonmen	l-on-m-en
dezenfekte	d-e-z-en-f-e-k-t-e
Tinisi	T-i-n-i-s-i
dezamòse	d-e-z-a-m-ò-s-e
kreyolofoni	k-r-e-y-o-l-o-f-o-n-i
avwe	a-v-w-e
detwi	d-e-t-w-i
gade	g-a-d-e
chouke	ch-ou-k-e
pèvès	p-è-v-è-s
patati	p-a-t-a-t-i
redi	r-e-d-i
odasye	o-d-a-s-y-e
lanj	l-an-j
valiz	v-a-l-i-z
bèk	b-è-k
Delis	D-e-l-i-s
kankou	k-an-k-ou
amonyak	a-m-o-n-y-a-k
vyeyès	v-y-e-y-è-s
vyolasyon	v-y-o-l-a-s-y-on
fyèman	f-y-è-m-an
piblikasyon	p-i-b-l-i-k-a-s-y-on
reyaksyon	r-e-y-a-k-s-y-on
dezobeyisans	d-e-z-o-b-e-y-i-s-an-s
leti	l-e-t-i
lyen	l-y-en
pwoklamasyon	p-w-o-k-l-a-m-a-s-y-on
trikote	t-r-i-k-o-t-e
Anatòt	A-n-a-t-ò-t
zizirit	z-i-z-i-r-i-t
aprantisaj	a-p-r-an-t-i-s-a-j
ankese	an-k-e-s-e
kenèp	k-e-n-è-p
varye	v-a-r-y-e
nwa	n-w-a
enkyetan	en-k-y-e-t-an
tranch	t-r-an-ch
atèl	a-t-è-l
derasine	d-e-r-a-s-i-n-e
Mitil	M-i-t-i-l
resantre	r-e-s-an-t-r-e
misyon	m-i-s-y-on
lekriti	l-e-k-r-i-t-i
dantèl	d-an-t-è-l
anbativant	an-b-a-t-i-v-an-t
kabinè	k-a-b-i-n-è
nwi	n-w-i
entèaktif	en-t-è-a-k-t-i-f
koloni	k-o-l-o-n-i
konvansyon	k-on-v-an-s-y-on
amoure	a-m-ou-r-e
volim	v-o-l-i-m
pwolonje	p-w-o-l-on-j-e
jiridik	j-i-r-i-d-i-k
iwondèl	i-w-on-d-è-l
douch	d-ou-ch
Lèziwa	L-è-z-i-w-a
demann	d-e-m-an-n
Janjak	J-an-j-a-k
konkretizasyon	k-on-k-r-e-t-i-z-a-s-y-on
òdinal	ò-d-i-n-a-l
ilimite	i-l-i-m-i-t-e
mache	m-a-ch-e
apremidi	a-p-r-e-m-i-d-i
anvan	an-v-an
minispalite	m-i-n-i-s-p-a-l-i-t-e
anplasman	an-p-l-a-s-m-an
Mandaren	M-an-d-a-r-en
lesiv	l-e-s-i-v
kalimèt	k-a-l-i-m-è-t
potab	p-o-t-a-b
kilsaji	k-i-l-s-a-j-i
ajoute	a-j-ou-t-e
Alsena	A-l-s-e-n-a
atrapan	a-t-r-a-p-an
tribinal	t-r-i-b-i-n-a-l
estidyo	e-s-t-i-d-y-o
wonjè	w-on-j-è
gita	g-i-t-a
bwòdè	b-w-ò-d-è
silo	s-i-l-o
kiviv	k-i-v-i-v
reviv	r-e-v-i-v
opozan	o-p-o-z-an
dimanten	d-i-m-an-t-en
estrèmman	e-s-t-r-è-m-m-an
dodo	d-o-d-o
medikalman	m-e-d-i-k-a-l-m-an
bigami	b-i-g-a-m-i
kandelam	k-an-d-e-l-a-m
Flora	F-l-o-r-a
Oliwoud	O-l-i-w-ou-d
swadizan	s-w-a-d-i-z-an
dimanch	d-i-m-an-ch
akoste	a-k-o-s-t-e
sikoz	s-i-k-o-z
angrenaj	an-g-r-e-n-a-j
byenvini	b-y-en-v-i-n-i
Azarya	A-z-a-r-y-a
kontab	k-on-t-a-b
gato	g-a-t-o
reyinyon	r-e-y-i-n-y-on
rebò	r-e-b-ò
enprime	en-p-r-i-m-e
ensite	en-s-i-t-e
krabye	k-r-a-b-y-e
pat	p-a-t
javaskrip	j-a-v-a-s-k-r-i-p
konfreri	k-on-f-r-e-r-i
entèvansyon	en-t-è-v-an-s-y-on
eksprès	e-k-s-p-r-è-s
Pestèl	P-e-s-t-è-l
enfòmasyon	en-f-ò-m-a-s-y-on
soukomisarya	s-ou-k-o-m-i-s-a-r-y-a
sipremasi	s-i-p-r-e-m-a-s-i
espozisyon	e-s-p-o-z-i-s-y-on
aprivwaze	a-p-r-i-v-w-a-z-e
espina	e-s-p-i-n-a
Arafa	A-r-a-f-a
pèmeyabilite	p-è-m-e-y-a-b-i-l-i-t-e
altènatè	a-l-t-è-n-a-t-è
tipik	t-i-p-i-k
Bèlrivye	B-è-l-r-i-v-y-e
kaptenn	k-a-p-t-en-n
Maribawou	M-a-r-i-b-a-w-ou
vipè	v-i-p-è
siwèl	s-i-w-è-l
tabli	t-a-b-l-i
lwa	l-w-a
prestasyon	p-r-e-s-t-a-s-y-on
regilasyon	r-e-g-i-l-a-s-y-on
lafliksyon	l-a-f-l-i-k-s-y-on
enpav	en-p-a-v
kèplen	k-è-p-l-en
pratikman	p-r-a-t-i-k-m-an
Tomonn	T-o-m-on-n
doulè	d-ou-l-è
entèvyouvè	en-t-è-v-y-ou-v-è
vazlin	v-a-z-l-i-n
Bonbon	B-on-b-on
pwòp	p-w-ò-p
egzaminen	e-g-z-a-m-i-n-en
devore	d-e-v-o-r-e
akeyan	a-k-e-y-an
sentòm	s-en-t-ò-m
itil	i-t-i-l
jinekoloji	j-i-n-e-k-o-l-o-j-i
konparan	k-on-p-a-r-an
Nip	N-i-p
oke	o-k-e
egzamen	e-g-z-a-m-en
sous	s-ou-s
ede	e-d-e
kri	k-r-i
kaporal	k-a-p-o-r-a-l
pòtab	p-ò-t-a-b
konpetitif	k-on-p-e-t-i-t-i-f
eskalad	e-s-k-a-l-a-d
amikal	a-m-i-k-a-l
rekoleksyon	r-e-k-o-l-e-k-s-y-on
dizay	d-i-z-a-y
enkyè	en-k-y-è
katriyèmman	k-a-t-r-i-y-è-m-m-an
angrenay	an-g-r-e-n-a-y
irige	i-r-i-g-e
Chalon	Ch-a-l-on
soustraksyon	s-ou-s-t-r-a-k-s-y-on
didan	d-i-d-an
sekwe	s-e-k-w-e
televizyon	t-e-l-e-v-i-z-y-on
iresponsab	i-r-e-s-p-on-s-a-b
waf	w-a-f
malman	m-a-l-m-an
òlalwa	ò-l-a-l-w-a
zanno	z-an-n-o
etidyant	e-t-i-d-y-an-t
jewolibètinaj	j-e-w-o-l-i-b-è-t-i-n-a-j
grèf	g-r-è-f
amisti	a-m-i-s-t-i
zou	z-ou
kèmès	k-è-m-è-s
bwokoli	b-w-o-k-o-l-i
Titato	T-i-t-a-t-o
bòpè	b-ò-p-è
atakan	a-t-a-k-an
lenpòtans	l-en-p-ò-t-an-s
altè	a-l-t-è
chirijikal	ch-i-r-i-j-i-k-a-l
parenay	p-a-r-e-n-a-y
elektwòd	e-l-e-k-t-w-ò-d
piblikman	p-i-b-l-i-k-m-an
ranpòte	r-an-p-ò-t-e
pwofese	p-w-o-f-e-s-e
paralyans	p-a-r-a-l-y-an-s
sereng	s-e-r-e-ng
konsiderab	k-on-s-i-d-e-r-a-b
chadwon	ch-a-d-w-on
kounouk	k-ou-n-ou-k
bèj	b-è-j
pretann	p-r-e-t-an-n
òtepedik	ò-t-e-p-e-d-i-k
boujwazi	b-ou-j-w-a-z-i
kagezon	k-a-g-e-z-on
sifi	s-i-f-i
konsanti	k-on-s-an-t-i
dyaspora	d-y-a-s-p-o-r-a
Etyopi	E-t-y-o-p-i
Priska	P-r-i-s-k-a
abonde	a-b-on-d-e
koupi	k-ou-p-i
anbochaj	an-b-o-ch-a-j
fiske	f-i-s-k-e
demake	d-e-m-a-k-e
fònikasyon	f-ò-n-i-k-a-s-y-on
mouchavè	m-ou-ch-a-v-è
kòmansman	k-ò-m-an-s-m-an
koute	k-ou-t-e
Ozyas	O-z-y-a-s
Rene	R-e-n-e
apral	a-p-r-a-l
tokay	t-o-k-a-y
transvèsal	t-r-an-s-v-è-s-a-l
met	m-e-t
sigarèt	s-i-g-a-r-è-t
piwèt	p-i-w-è-t
rekoud	r-e-k-ou-d
pataj	p-a-t-a-j
adilt	a-d-i-l-t
blame	b-l-a-m-e
lekonomi	l-e-k-o-n-o-m-i
sanginè	s-an-g-i-n-è
epwouve	e-p-w-ou-v-e
sakado	s-a-k-a-d-o
remete	r-e-m-e-t-e
jadinye	j-a-d-i-n-y-e
siyifye	s-i-y-i-f-y-e
Neptin	N-e-p-t-i-n
distenk	d-i-s-t-en-k
lanpa	l-an-p-a
koupon	k-ou-p-on
menm	m-en-m
sèviyab	s-è-v-i-y-a-b
rantab	r-an-t-a-b
kliyan	k-l-i-y-an
Ezekyèl	E-z-e-k-y-è-l
enfeksyon	en-f-e-k-s-y-on
laplenn	l-a-p-l-en-n
antòch	an-t-ò-ch
manb	m-an-b
petisyon	p-e-t-i-s-y-on
tòtire	t-ò-t-i-r-e
Ferari	F-e-r-a-r-i
ipotèz	i-p-o-t-è-z
grevis	g-r-e-v-i-s
souflè	s-ou-f-l-è
depozisyon	d-e-p-o-z-i-s-y-on
afiba	a-f-i-b-a
marekaj	m-a-r-e-k-a-j
egzijib	e-g-z-i-j-i-b
Risi	R-i-s-i
founi	f-ou-n-i
Klodi	K-l-o-d-i
trileng	t-r-i-l-e-ng
Jerilis	J-e-r-i-l-i-s
trigonometri	t-r-i-g-o-n-o-m-e-t-r-i
melo	m-e-l-o
kanpe	k-an-p-e
regilatè	r-e-g-i-l-a-t-è
prezime	p-r-e-z-i-m-e
epesè	e-p-e-s-è
demenaje	d-e-m-e-n-a-j-e
barak	b-a-r-a-k
dezawa	d-e-z-a-w-a
kwaf	k-w-a-f
fasilman	f-a-s-i-l-m-an
pèmi	p-è-m-i
enfòmatik	en-f-ò-m-a-t-i-k
epatit	e-p-a-t-i-t
anfans	an-f-an-s
priye	p-r-i-y-e
sandimil	s-an-d-i-m-i-l
eksploratè	e-k-s-p-l-o-r-a-t-è
kapichon	k-a-p-i-ch-on
Dipèval	D-i-p-è-v-a-l
fòlklò	f-ò-l-k-l-ò
nil	n-i-l
zepi	z-e-p-i
konfinman	k-on-f-i-n-m-an
women	w-o-m-en
Miragwàn	M-i-r-a-g-w-à-n
viktwa	v-i-k-t-w-a
ebyen	e-b-y-en
senegalè	s-e-n-e-g-a-l-è
klèman	k-l-è-m-an
salmanaza	s-a-l-m-a-n-a-z-a
depòte	d-e-p-ò-t-e
abri	a-b-r-i
danre	d-an-r-e
tak	t-a-k
